day,time,,wea,tem,hum,win,dir,winclass,rain,tembody
2019/1/4,4:00,,局部多云,-2℃,30%,清风,北风,5级,-,-5℃
2019/1/4,5:00,,多云,-3℃,29%,清风,北风,5级,-,-6℃
2019/1/4,6:00,,局部多云,-3℃,27%,清风,北风,5级,-,-7℃
2019/1/4,7:00,,多云,-3℃,25%,清风,北风,5级,-,-7℃
2019/1/4,8:00,,局部多云,-4℃,23%,清风,北风,5级,-,-8℃
2019/1/4,9:00,,局部多云,-3℃,20%,清风,北风,5级,-,-6℃
2019/1/4,10:00,,局部多云,-2℃,17%,清风,北风,5级,-,-5℃
2019/1/4,11:00,,局部多云,-1℃,14%,清风,北风,5级,-,-4℃
2019/1/4,12:00,,局部多云,0℃,12%,清风,北风,5级,-,-3℃
2019/1/4,13:00,,局部多云,1℃,11%,和风,北风,4级,-,-1℃
2019/1/4,14:00,,局部多云,2℃,10%,和风,北风,4级,-,1℃
2019/1/4,15:00,,局部多云,2℃,10%,微风,西风,3级,-,1℃
2019/1/4,16:00,,局部多云,3℃,11%,轻风,西南风,2级,-,2℃
2019/1/4,17:00,,局部多云,3℃,11%,轻风,东南风,2级,-,3℃
2019/1/4,18:00,,局部多云,2℃,13%,轻风,南风,2级,-,2℃
2019/1/4,19:00,,局部多云,2℃,14%,轻风,西风,2级,-,2℃
2019/1/4,20:00,,局部多云,2℃,15%,轻风,西北风,2级,-,1℃
2019/1/4,21:00,,局部多云,1℃,15%,微风,西北风,3级,-,0℃
2019/1/4,22:00,,局部多云,0℃,15%,微风,西北风,3级,-,-1℃
2019/1/4,23:00,,局部多云,0℃,16%,微风,西北风,3级,-,-2℃
2019/1/5,0:00,,局部多云,-2℃,15%,微风,北风,3级,-,-4℃
2019/1/5,1:00,,局部多云,-2℃,16%,微风,北风,3级,-,-4℃
2019/1/5,2:00,,局部多云,-2℃,17%,微风,北风,3级,-,-4℃
2019/1/5,3:00,,局部多云,-3℃,18%,微风,北风,3级,-,-4℃
2019/1/5,4:00,,局部多云,-3℃,18%,微风,北风,3级,-,-5℃
2019/1/5,5:00,,局部多云,-4℃,19%,微风,北风,3级,-,-6℃
2019/1/5,6:00,,局部多云,-4℃,19%,微风,北风,3级,-,-6℃
2019/1/5,7:00,,局部多云,-5℃,19%,微风,北风,3级,-,-7℃
2019/1/5,8:00,,局部多云,-5℃,19%,微风,北风,3级,-,-7℃
2019/1/5,9:00,,局部多云,-4℃,18%,微风,北风,3级,-,-6℃
2019/1/5,10:00,,局部多云,-3℃,16%,微风,北风,3级,-,-5℃
2019/1/5,11:00,,局部多云,-2℃,15%,微风,北风,3级,-,-4℃
2019/1/5,12:00,,多云,-2℃,14%,微风,西风,3级,-,-3℃
2019/1/5,13:00,,局部多云,-1℃,13%,轻风,南风,2级,-,-2℃
2019/1/5,14:00,,多云,0℃,12%,轻风,东风,2级,-,0℃
2019/1/5,15:00,,多云,-1℃,13%,轻风,东风,2级,-,-1℃
2019/1/5,16:00,,多云,-1℃,13%,轻风,东南风,2级,-,-2℃
2019/1/5,17:00,,多云,-1℃,13%,微风,东南风,3级,-,-2℃
2019/1/5,18:00,,阴天,-1℃,14%,轻风,东南风,2级,-,-2℃
2019/1/5,19:00,,多云,-1℃,14%,轻风,东南风,2级,-,-2℃
2019/1/5,20:00,,阴天,-2℃,14%,软风,南风,1级,-,-2℃
2019/1/5,21:00,,阴天,-2℃,15%,软风,南风,1级,-,-2℃
2019/1/5,22:00,,阴天,-2℃,16%,软风,南风,1级,-,-2℃
2019/1/5,23:00,,阴天,-2℃,16%,软风,南风,1级,-,-2℃
2019/1/6,0:00,,局部多云,-2℃,14%,轻风,东南风,2级,-,-2℃
2019/1/6,1:00,,多云,-2℃,14%,轻风,东风,2级,-,-2℃
2019/1/6,2:00,,局部多云,-3℃,15%,轻风,东风,2级,-,-3℃
2019/1/6,3:00,,局部多云,-3℃,15%,轻风,东北风,2级,-,-3℃
2019/1/6,4:00,,局部多云,-3℃,16%,轻风,东北风,2级,-,-3℃
2019/1/6,5:00,,局部多云,-3℃,16%,轻风,东北风,2级,-,-3℃
2019/1/6,6:00,,局部多云,-3℃,16%,轻风,东北风,2级,-,-3℃
2019/1/6,7:00,,局部多云,-3℃,17%,软风,东风,1级,-,-3℃
2019/1/6,8:00,,局部多云,-3℃,17%,软风,东风,1级,-,-3℃
2019/1/6,9:00,,局部多云,-2℃,16%,轻风,东风,2级,-,-2℃
