day,time,,wea,tem,hum,win,dir,winclass,rain,tembody
2018/1/1,0:00,,局部多云,1℃,18%,微风,北风,3级,-,0℃
2018/1/1,1:00,,局部多云,1℃,18%,微风,北风,3级,-,-1℃
2018/1/1,2:00,,局部多云,0℃,18%,微风,北风,3级,-,-1℃
2018/1/1,3:00,,局部多云,0℃,18%,微风,北风,3级,-,-1℃
2018/1/1,4:00,,局部多云,0℃,18%,微风,北风,3级,-,-2℃
2018/1/1,5:00,,局部多云,0℃,18%,微风,北风,3级,-,-2℃
2018/1/1,6:00,,局部多云,0℃,18%,微风,北风,3级,-,-2℃
2018/1/1,7:00,,局部多云,0℃,19%,微风,北风,3级,-,-2℃
2018/1/1,8:00,,局部多云,0℃,19%,微风,北风,3级,-,-2℃
2018/1/1,9:00,,局部多云,1℃,18%,微风,东北风,3级,-,-1℃
2018/1/1,10:00,,局部多云,1℃,17%,微风,东北风,3级,-,0℃
2018/1/1,11:00,,局部多云,2℃,16%,微风,东北风,3级,-,1℃
2018/1/1,12:00,,局部多云,3℃,15%,微风,东风,3级,-,2℃
2018/1/1,13:00,,局部多云,3℃,15%,微风,东风,3级,-,2℃
2018/1/1,14:00,,局部多云,4℃,15%,和风,东风,4级,-,3℃
2018/1/1,15:00,,局部多云,4℃,15%,微风,东风,3级,-,2℃
2018/1/1,16:00,,局部多云,3℃,16%,微风,东风,3级,-,2℃
2018/1/1,17:00,,局部多云,3℃,17%,微风,东风,3级,-,2℃
2018/1/1,18:00,,局部多云,2℃,18%,微风,东风,3级,-,2℃
2018/1/1,19:00,,局部多云,2℃,19%,微风,东风,3级,-,2℃
2018/1/1,20:00,,局部多云,2℃,19%,轻风,东北风,2级,-,1℃
2018/1/1,21:00,,局部多云,1℃,20%,轻风,东北风,2级,-,1℃
2018/1/1,22:00,,局部多云,1℃,20%,轻风,东北风,2级,-,1℃
2018/1/1,23:00,,局部多云,1℃,20%,轻风,东北风,2级,-,0℃
2018/1/2,0:00,,局部多云,1℃,24%,微风,东北风,3级,-,0℃
2018/1/2,1:00,,局部多云,0℃,26%,微风,东北风,3级,-,0℃
2018/1/2,2:00,,局部多云,0℃,28%,微风,东北风,3级,-,-1℃
2018/1/2,3:00,,局部多云,0℃,28%,微风,东北风,3级,-,-1℃
2018/1/2,4:00,,局部多云,0℃,28%,微风,东北风,3级,-,-1℃
2018/1/2,5:00,,局部多云,-1℃,28%,微风,东北风,3级,-,-2℃
2018/1/2,6:00,,局部多云,-1℃,27%,微风,东北风,3级,-,-2℃
2018/1/2,7:00,,局部多云,-1℃,25%,微风,东北风,3级,-,-3℃
2018/1/2,8:00,,局部多云,-1℃,24%,微风,北风,3级,-,-3℃
2018/1/2,9:00,,局部多云,0℃,21%,和风,东北风,4级,-,-2℃
2018/1/2,10:00,,局部多云,1℃,19%,和风,东北风,4级,-,-2℃
2018/1/2,11:00,,局部多云,2℃,17%,清风,东北风,5级,-,-1℃
2018/1/2,12:00,,局部多云,2℃,17%,清风,东北风,5级,-,0℃
2018/1/2,13:00,,局部多云,3℃,17%,清风,东北风,5级,-,1℃
2018/1/2,14:00,,局部多云,4℃,17%,清风,北风,5级,-,2℃
2018/1/2,15:00,,局部多云,4℃,18%,和风,东北风,4级,-,2℃
2018/1/2,16:00,,局部多云,3℃,18%,和风,东北风,4级,-,2℃
2018/1/2,17:00,,局部多云,3℃,18%,微风,东北风,3级,-,2℃
2018/1/2,18:00,,局部多云,3℃,19%,微风,东北风,3级,-,1℃
2018/1/2,19:00,,局部多云,2℃,19%,和风,北风,4级,-,1℃
2018/1/2,20:00,,局部多云,2℃,19%,和风,北风,4级,-,0℃
